x,y,node_id,kind,group
33,6,265275,leaf,1
34,6,367406,leaf,1
35,6,369943,leaf,1
36,6,280379,leaf,1
37,6,345604,leaf,1
38,6,351906,leaf,1
39,6,210270,leaf,1
40,6,211970,leaf,1
41,6,544837,leaf,1
42,6,203444,leaf,1
43,6,571265,leaf,1
44,6,203445,leaf,1
45,6,642187,leaf,1
46,6,642186,leaf,1
47,6,538432,leaf,1
48,6,641389,leaf,1
49,6,538913,leaf,1
50,6,541634,leaf,1
51,6,539393,leaf,1
52,6,508215,leaf,1
53,6,523886,leaf,1
54,6,658986,leaf,1
55,6,648064,leaf,1
56,6,310791,leaf,1
57,6,343481,leaf,1
58,6,349795,leaf,1
59,6,417889,leaf,1
60,6,370536,leaf,1
61,6,419646,leaf,1
62,6,486401,leaf,1
63,6,440444,leaf,1
64,6,755376,leaf,2
65,6,728784,leaf,2
66,6,744934,leaf,2
67,6,728785,leaf,2
68,6,721843,leaf,2
69,6,724482,leaf,2
70,6,734247,leaf,2
71,6,727171,leaf,2
72,6,725798,leaf,2
73,6,811963,leaf,2
74,6,859943,leaf,2
75,6,876000,leaf,2
76,6,869354,leaf,2
77,6,876761,leaf,2
78,6,695424,leaf,2
79,6,698304,leaf,2
80,6,1137526,leaf,2
81,6,1122483,leaf,2
82,6,846208,leaf,2
83,6,1122519,leaf,2
84,6,1025815,leaf,2
85,6,1018365,leaf,2
86,6,1019588,leaf,2
87,6,928308,leaf,2
88,6,1102592,leaf,2
89,6,968868,leaf,2
90,6,1069313,leaf,2
91,6,934448,leaf,2
92,6,996634,leaf,2
93,6,1091033,leaf,2
94,6,1090230,leaf,2
95,6,1088547,leaf,2
96,6,1244579,leaf,3
97,6,1248646,leaf,3
98,6,1290621,leaf,3
99,6,1250814,leaf,3
100,6,1250064,leaf,3
101,6,1250003,leaf,3
102,6,1300563,leaf,3
103,6,1332529,leaf,3
104,6,1332527,leaf,3
105,6,1294746,leaf,3
106,6,1508552,leaf,3
107,6,242746,leaf,3
108,6,236814,leaf,3
109,6,242747,leaf,3
110,6,1193554,leaf,3
111,6,213329,leaf,3
112,6,1178522,leaf,3
113,6,1180627,leaf,3
114,6,1185753,leaf,3
115,6,1405049,leaf,3
116,6,1404118,leaf,3
117,6,1482607,leaf,3
118,6,1405062,leaf,3
119,6,1484648,leaf,3
120,6,1498485,leaf,3
121,6,1488953,leaf,3
122,6,1555938,leaf,3
123,6,1556335,leaf,3
124,6,1434391,leaf,3
125,6,1434390,leaf,3
126,6,1572016,leaf,3
127,6,1412865,leaf,3
0,7,99729,leaf,0
1,7,113750,leaf,0
2,7,134024,leaf,0
3,7,121852,leaf,0
4,7,107930,branch,0
5,7,116158,leaf,0
6,7,120529,leaf,0
7,7,236961,leaf,0
8,7,225946,leaf,0
9,7,111391,leaf,0
10,7,218753,leaf,0
11,7,93011,leaf,0
12,7,95366,leaf,0
13,7,174522,leaf,0
14,7,81611,leaf,0
15,7,82478,leaf,0
16,7,84352,leaf,0
17,7,71737,leaf,0
18,7,78962,leaf,0
19,7,50766,leaf,0
20,7,306937,leaf,0
21,7,303917,leaf,0
22,7,389581,leaf,0
23,7,390696,leaf,0
24,7,53226,leaf,0
25,7,497643,leaf,0
26,7,474389,leaf,0
27,7,436916,leaf,0
28,7,475510,leaf,0
29,7,445425,leaf,0
30,7,150282,leaf,0
31,7,149992,leaf,0
32,7,238341,leaf,1
33,7,265274,leaf,1
34,7,169464,leaf,1
35,7,280378,leaf,1
36,7,279218,leaf,1
37,7,340457,leaf,1
38,7,340456,leaf,1
39,7,210271,leaf,1
40,7,210309,leaf,1
41,7,568921,leaf,1
42,7,680258,leaf,1
43,7,202294,leaf,1
44,7,572642,leaf,1
45,7,571245,leaf,1
46,7,621092,branch,1
47,7,631812,leaf,1
48,7,641388,leaf,1
49,7,625147,leaf,1
50,7,640940,leaf,1
51,7,539976,leaf,1
52,7,608489,leaf,1
53,7,523017,leaf,1
54,7,645793,leaf,1
55,7,648065,leaf,1
56,7,661198,leaf,1
57,7,352504,leaf,1
58,7,343480,leaf,1
59,7,353969,leaf,1
60,7,395822,leaf,1
61,7,485338,leaf,1
62,7,441903,leaf,1
63,7,436915,leaf,1
64,7,744602,leaf,2
65,7,754205,leaf,2
66,7,728212,leaf,2
67,7,739055,leaf,2
68,7,910697,leaf,2
69,7,718340,leaf,2
70,7,925136,leaf,2
71,7,869965,leaf,2
72,7,878149,leaf,2
73,7,727170,leaf,2
74,7,876001,leaf,2
75,7,855301,leaf,2
76,7,713347,branch,2
77,7,854433,leaf,2
78,7,698305,leaf,2
79,7,865927,leaf,2
80,7,1136676,leaf,2
81,7,952681,branch,2
82,7,846209,leaf,2
83,7,1040563,leaf,2
84,7,836360,leaf,2
85,7,1019589,leaf,2
86,7,1013438,leaf,2
87,7,1102318,leaf,2
88,7,1098758,leaf,2
89,7,1010402,leaf,2
90,7,968869,leaf,2
91,7,1006113,leaf,2
92,7,935769,leaf,2
93,7,933355,leaf,2
94,7,1002521,leaf,2
95,7,1090469,leaf,2
96,7,1228286,leaf,3
97,7,1226548,leaf,3
98,7,1263940,leaf,3
99,7,1290620,leaf,3
100,7,1262823,leaf,3
101,7,1250065,leaf,3
102,7,1307187,leaf,3
103,7,1295579,leaf,3
104,7,1294747,leaf,3
105,7,1299763,leaf,3
106,7,1507669,leaf,3
107,7,1334643,leaf,3
108,7,238212,leaf,3
109,7,195708,branch,3
110,7,203461,leaf,3
111,7,1192818,leaf,3
112,7,1182292,leaf,3
113,7,1185131,leaf,3
114,7,1187233,leaf,3
115,7,1185752,leaf,3
116,7,1186408,leaf,3
117,7,1402753,leaf,3
118,7,1570972,leaf,3
119,7,1571376,leaf,3
120,7,1484191,leaf,3
121,7,1525973,branch,3
122,7,1571375,leaf,3
123,7,1571377,leaf,3
124,7,1557176,leaf,3
125,7,1568908,leaf,3
126,7,1428087,leaf,3
127,7,1412992,leaf,3
0,8,99728,leaf,0
1,8,100575,leaf,0
2,8,96792,leaf,0
3,8,122518,leaf,0
4,8,117666,leaf,0
5,8,111390,leaf,0
6,8,105046,leaf,0
7,8,112306,leaf,0
8,8,267898,leaf,0
9,8,70551,leaf,0
10,8,69761,leaf,0
11,8,49322,leaf,0
